id,title,avgvote,releaseyear,tagline
10669,Deliverance,7.900000,1972,This is the weekend they didn't play golf.
10671,Airport,6.000000,1970,
10673,Wall Street,6.700000,1987,Every dream has a price.
106747,Machete Kills,5.400000,2013,Trained to kill. Left for dead. Back for more.
10674,Mulan,6.800000,1998,"This time, the princess saves the prince."
10675,Frantic,6.300000,1988,They've taken his wife. Now he's taking action.
10676,Halloween III: Season of the Witch,4.600000,1982,...and now the earth will run with blood again!
10677,Dirty Dancing: Havana Nights,6.000000,2004,Break the rules. Find your freedom. Live your life.
10678,Bringing Down The House,5.500000,2003,"Everything he needed to know about life, she learned in prison."
10679,Iron Sky,5.700000,2012,We come in peace!
10680,D3: The Mighty Ducks,5.800000,1996,No Fear. No Limits. No Brakes. Just Ducks.
10681,WALL·E,7.300000,2008,An adventure beyond the ordinar-E.
10683,Happiness,8.200000,1998,#1 Film of the year!
10684,Courage Under Fire,6.100000,1996,A medal for honor. A search for justice. A battle for truth.
10685,The Watcher,5.200000,2000,
10687,Tigerland,6.800000,2000,The system wanted them to become soldiers. One soldier just wanted to be human.
10691,Crazy/Beautiful,7.100000,2001,When it's real. When it's right. Don't let anything stand in your way.
106938,Neverland,5.700000,2011,Journey Back To Where It All Began.
10693,Peter Pan,6.300000,1953,It will live in your heart forever!
106,Predator,6.900000,1987,"If it bleeds, we can kill it..."
10707,The Squid and the Whale,6.200000,2005,Joint custody blows.
10708,Daddy Day Care,5.700000,2003,Who's your daddy?
10710,Envy,6.300000,2004,"Success didn’t go to his head, it went to his neighbor."
10711,French Connection II,6.200000,1975,
10712,Far from Heaven,6.700000,2002,It's time to stop hiding from the truth.
10715,Looney Tunes: Back In Action,5.500000,2003,Real life has never been so animated.
107170,Ghost Recon: Alpha,7.300000,2012,
10718,Torque,5.600000,2004,Circuit of Fire
10719,Elf,6.200000,2003,"This holiday, discover your inner elf."
